--------------------------------------
total_number_of_reads:	20000000
accuracy over all reads:	93.48%
accuracy over uniquely aligned reads:	99.57%
% reads aligned incorrectly:	0.39%
% reads aligned ambiguously:	0.0%
% reads unaligned:	6.11%
% reads aligned:	93.89%
% of reads with true introns:	13.4601%
--------------------------------------
total_number_of_bases_of_reads:	2000000000
accuracy over all bases:	90.05%
accuracy over uniquely aligned bases:	99.27%
% bases aligned incorrectly:	0.65%
% bases aligned ambiguously:	0.0%
% bases unaligned:	9.29%
% bases aligned:	90.71000000000001%
% of bases in true insertions:	0.0174%
% of bases in true deletions:	0.0173%
insertions FD rate:	0% (no insertions called)
insertions FN rate:	100.0%
deletions FD rate:	0% (no deletions called)
deletions FN rate:	100.0%
skipping FD rate:	0% (no skipping called)
skipping FN rate:	100.0%
--------------------------------------
junctions FD rate:	0% (no junctions called)
junctions FN rate:	100.0%
Junctions Sides (none|left|right|both):	0|0|0|0
Junctions Sides (none|left|right|both)% of all called:	NaN|NaN|NaN|NaN
